id,description,category,priority
1,"Server is completely down and users cannot access the application",Technical,High
2,"I was charged twice for my subscription this month",Billing,High
3,"Cannot login to my account, password reset not working",Account,High
4,"Add dark mode feature to the dashboard",Feature Request,Low
5,"Application crashes when uploading large files",Technical,High
6,"Refund request for cancelled service",Billing,Medium
7,"Minor typo on the homepage footer",Technical,Low
8,"Need to update my billing address",Account,Low
9,"Critical bug:  data loss when saving forms",Technical,High
10,"Invoice for last month is missing",Billing,Medium
11,"Account locked after multiple login attempts",Account,High
12,"Suggestion:  add export to PDF functionality",Feature Request,Low
13,"Error 500 when accessing reports page",Technical,Medium
14,"Upgrade my subscription plan",Billing,Medium
15,"Reset my two-factor authentication",Account,Medium
16,"Page loads slowly on mobile devices",Technical,Medium
17,"Payment method declined, need help",Billing,High
18,"Change email address on account",Account,Low
19,"Add integration with Slack",Feature Request,Medium
20,"Database connection timeout errors",Technical,High
21,"Cancel my subscription",Billing,Low
22,"Forgot username, how to recover",Account,Medium
23,"Improve search functionality",Feature Request,Medium
24,"API returning incorrect data",Technical,High
25,"Double charged for annual plan",Billing,High
